Date,Date Processed,Description,Amount
28 Nov 2024,28 Nov 2024,AMZN MKTP CA*Z31790NL1  WWW.AMAZON.CA,10.46
28 Nov 2024,28 Nov 2024,AMZN MKTP CA*Z31SE0V02  WWW.AMAZON.CA,17.01
28 Nov 2024,28 Nov 2024,MEMBERSHIP FEE INSTALLMENT,12.99
27 Nov 2024,27 Nov 2024,AMZN MKTP CA*Z31975MR0  WWW.AMAZON.CA,56.70
27 Nov 2024,27 Nov 2024,UBER TRIP               HTTPS://HELP.UB,10.99
26 Nov 2024,27 Nov 2024,TOP TEN PRODUCE (2001)  VANCOUVER,23.25
25 Nov 2024,26 Nov 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
25 Nov 2024,26 Nov 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
25 Nov 2024,26 Nov 2024,DOORDASHLEPETITSAIG     DOWNTOWN TORONT,27.08
25 Nov 2024,25 Nov 2024,EVO CAR SHARE           BURNABY,8.53
25 Nov 2024,25 Nov 2024,UBER TRIP               HTTPS://HELP.UB,12.42
24 Nov 2024,25 Nov 2024,LULULEMON #00110        VANCOUVER,12.54
24 Nov 2024,26 Nov 2024,SAFEWAY #4942 VANCOUVER VANCOUVER,57.64
23 Nov 2024,24 Nov 2024,=RAMENDANBOROBSON 002   VANCOUVER,39.09
23 Nov 2024,23 Nov 2024,"CURSOR, AI POWERED IDE  NEW YORK",28.75
22 Nov 2024,22 Nov 2024,UBER TRIP               HTTPS://HELP.UB,13.14
22 Nov 2024,22 Nov 2024,UBER TRIP               HTTPS://HELP.UB,25.65
21 Nov 2024,21 Nov 2024,EVO CAR SHARE           BURNABY,5.79
21 Nov 2024,21 Nov 2024,EVO CAR SHARE           BURNABY,9.08
20 Nov 2024,21 Nov 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
20 Nov 2024,20 Nov 2024,EVO CAR SHARE           BURNABY,5.79
19 Nov 2024,20 Nov 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
18 Nov 2024,18 Nov 2024,PAYMENT RECEIVED - THANK YOU,-2248.67
18 Nov 2024,19 Nov 2024,TOP TEN PRODUCE (2001)  VANCOUVER,42.69
17 Nov 2024,18 Nov 2024,BREKA BAKERY & CAFE 409 VANCOUVER,15.40
17 Nov 2024,18 Nov 2024,KELLY & CARLOS O'BRYAN' VANCOUVER,27.47
17 Nov 2024,18 Nov 2024,PLAYSTATION NETWORK     877-971-7669,100.79
17 Nov 2024,18 Nov 2024,TOP TEN PRODUCE (2001)  VANCOUVER,8.98
17 Nov 2024,17 Nov 2024,UBER TRIP               HTTPS://HELP.UB,11.10
17 Nov 2024,18 Nov 2024,UNIVERSITY GOLF CLUB 41 VANCOUVER,16.00
16 Nov 2024,18 Nov 2024,BANANA LEAF IN KITSILAN VANCOUVER,37.17
16 Nov 2024,17 Nov 2024,BELL MEDIA              TORONTO,24.64
16 Nov 2024,16 Nov 2024,CINEPLEX 1149           VANCOUVER,15.66
16 Nov 2024,17 Nov 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
16 Nov 2024,16 Nov 2024,EVO CAR SHARE           BURNABY,7.44
16 Nov 2024,16 Nov 2024,UBER TRIP               HTTPS://HELP.UB,11.16
15 Nov 2024,15 Nov 2024,AMAZON.CA               WWW.AMAZON.CA,6.99
15 Nov 2024,16 Nov 2024,CINEPLEX #8030 WEB QP   TORONTO,35.18
15 Nov 2024,16 Nov 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
15 Nov 2024,16 Nov 2024,NETFLIX.COM             866-716-0414,6.71
15 Nov 2024,15 Nov 2024,PRIMEVIDEO.C*1E3PK1PL3  WWW.AMAZON.CA,5.59
14 Nov 2024,15 Nov 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
14 Nov 2024,15 Nov 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
13 Nov 2024,14 Nov 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
12 Nov 2024,12 Nov 2024,EVO CAR SHARE           BURNABY,9.08
12 Nov 2024,14 Nov 2024,SAFEWAY #4901 VANCOUVER VANCOUVER,131.44
10 Nov 2024,10 Nov 2024,DOORDASHDASHPASS        DOWNTOWN TORONT,10.49
10 Nov 2024,10 Nov 2024,UBER   *LIME            SAN FRANCISCO,21.26
10 Nov 2024,10 Nov 2024,UBER TRIP               HTTPS://HELP.UB,25.45
09 Nov 2024,10 Nov 2024,AIRCANADA               WINNIPEG,612.42
09 Nov 2024,09 Nov 2024,EVO CAR SHARE           BURNABY,12.92
09 Nov 2024,09 Nov 2024,LULULEMON ATHLETICA B2C,-10.00
09 Nov 2024,09 Nov 2024,LULULEMONCOM            877-263-9300,430.08
09 Nov 2024,09 Nov 2024,ROGERS ******1406       888-764-3771,74.24
08 Nov 2024,10 Nov 2024,=AHISUSHI 001           VANCOUVER,19.26
07 Nov 2024,08 Nov 2024,AMAZON.CA PRIME MEMBER  AMAZON.CA/PRI,5.59
07 Nov 2024,08 Nov 2024,E FOOD INC. 407149123   VANCOUVER,23.10
06 Nov 2024,07 Nov 2024,AMTRAK INT              WASHINGTON,314.81
06 Nov 2024,06 Nov 2024,EXPEDIA 72958800644426  EXPEDIA.CA,474.60
06 Nov 2024,08 Nov 2024,LULULEMONCOM            877-263-9300,69.89
06 Nov 2024,06 Nov 2024,UBER TRIP               HTTPS://HELP.UB,9.31
05 Nov 2024,06 Nov 2024,E FOOD INC. 407149123   VANCOUVER,19.32
04 Nov 2024,06 Nov 2024,RAMEN DANBO KERRISDALE  VANCOUVER,37.08
03 Nov 2024,04 Nov 2024,APPLE.COM/BILL          TORONTO,4.47
03 Nov 2024,04 Nov 2024,EVO CAR SHARE           BURNABY,16.22
03 Nov 2024,05 Nov 2024,SAFEWAY #4908 VANCOUVER VANCOUVER,147.88
03 Nov 2024,03 Nov 2024,THIERRY CHOCOLATES - MT Vancouver,5.07
02 Nov 2024,02 Nov 2024,APPLE.COM/BILL          TORONTO,6.71
02 Nov 2024,04 Nov 2024,BC LIQUOR #177 VANCOUVE VANCOUVER,17.84
02 Nov 2024,02 Nov 2024,EVO CAR SHARE           BURNABY,10.73
02 Nov 2024,02 Nov 2024,EVO CAR SHARE           BURNABY,18.41
02 Nov 2024,03 Nov 2024,EVO CAR SHARE           BURNABY,21.55
02 Nov 2024,02 Nov 2024,KITS                    VANCOUVER,77.95
02 Nov 2024,03 Nov 2024,SING SING BEER BAR      604-899-3229,32.78
01 Nov 2024,01 Nov 2024,EVO CAR SHARE           BURNABY,9.08
01 Nov 2024,01 Nov 2024,EVO CAR SHARE           BURNABY,12.92
31 Oct 2024,31 Oct 2024,UBER TRIP               HTTPS://HELP.UB,6.30
30 Oct 2024,31 Oct 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
30 Oct 2024,31 Oct 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
29 Oct 2024,30 Oct 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
29 Oct 2024,30 Oct 2024,COMPASS ACCOUNT BURN    BURNABY,3.20
29 Oct 2024,30 Oct 2024,TOP TEN PRODUCE (2001)  VANCOUVER,23.46
28 Oct 2024,29 Oct 2024,COMPASS ACCOUNT BURN    BURNABY,3.20